MATERIAL_NAME,PLANT_NAME,STAGE,INBOUND_DATE,MONTH_YEAR,NET_QUANTITY_MT,risk_overflow_score,flow_score
CHEMICAL-0046,SINGAPORE-WAREHOUSE,medium,2024/02/13,2024/02,287.52,0.4681,-0.4492
FINISHED_GOOD-0047,MALAYSIA-WAREHOUSE,low,2023/05/04,2023/05,140.52,-0.8233,0.051
COMPONENT-0048,SINGAPORE-WAREHOUSE,critical,2023/12/13,2023/12,61.75,0.0026,0.8252
RAW_MAT-0049,VIETNAM-WAREHOUSE,high,2024/08/25,2024/08,53.55,-0.6437,0.6579
COMPONENT-0050,CHINA-WAREHOUSE,critical,2024/12/25,2024/12,945.47,0.2149,-1.0
RAW_MAT-0051,SINGAPORE-WAREHOUSE,critical,2023/02/02,2023/02,241.28,0.2166,-1.0
FINISHED_GOOD-0052,CHINA-WAREHOUSE,high,2023/10/13,2023/10,104.29,0.2367,-0.4311
PACKAGING-0053,SINGAPORE-WAREHOUSE,high,2024/08/07,2024/08,108.51,-0.4356,-0.612
CHEMICAL-0054,MALAYSIA-WAREHOUSE,high,2024/04/29,2024/04,132.29,-0.0777,-0.3503
PACKAGING-0055,SINGAPORE-WAREHOUSE,critical,2023/04/10,2023/04,465.17,0.5117,0.5262
PACKAGING-0056,THAILAND-WAREHOUSE,low,2024/02/25,2024/02,131.2,-0.4692,-0.0481
PACKAGING-0057,CHINA-WAREHOUSE,critical,2023/03/04,2023/03,34.31,0.7373,-1.0
PACKAGING-0058,THAILAND-WAREHOUSE,critical,2023/09/12,2023/09,87.58,-0.2605,1.0
COMPONENT-0059,SINGAPORE-WAREHOUSE,low,2023/05/24,2023/05,42.98,-0.5882,0.1828
PACKAGING-0060,SINGAPORE-WAREHOUSE,medium,2024/04/18,2024/04,369.56,0.0519,-0.0676
COMPONENT-0061,CHINA-WAREHOUSE,low,2024/07/17,2024/07,16.5,-0.7799,0.5954
RAW_MAT-0062,CHINA-WAREHOUSE,critical,2023/04/06,2023/04,146.85,0.3379,-0.6607
COMPONENT-0063,SINGAPORE-WAREHOUSE,low,2024/05/12,2024/05,100.87,-0.7043,0.1672
PACKAGING-0064,SINGAPORE-WAREHOUSE,low,2023/03/02,2023/03,66.94,-0.9623,0.1587
COMPONENT-0065,MALAYSIA-WAREHOUSE,critical,2024/02/04,2024/02,83.69,0.2144,0.8592
FINISHED_GOOD-0066,MALAYSIA-WAREHOUSE,medium,2024/03/09,2024/03,262.44,-0.7504,-0.5897
CHEMICAL-0067,MALAYSIA-WAREHOUSE,high,2023/07/14,2023/07,118.02,-0.1196,0.7986
FINISHED_GOOD-0068,SINGAPORE-WAREHOUSE,critical,2024/08/16,2024/08,257.03,0.475,-0.4171
CHEMICAL-0069,CHINA-WAREHOUSE,medium,2023/02/28,2023/02,57.65,-0.4509,0.3247
RAW_MAT-0070,VIETNAM-WAREHOUSE,low,2024/05/29,2024/05,181.35,-0.7738,0.5199
CHEMICAL-0071,SINGAPORE-WAREHOUSE,critical,2024/06/04,2024/06,122.82,0.1114,-0.6801
RAW_MAT-0072,SINGAPORE-WAREHOUSE,critical,2024/09/01,2024/09,14.95,0.3168,0.0253
RAW_MAT-0073,SINGAPORE-WAREHOUSE,low,2023/05/03,2023/05,239.05,-0.3255,0.3202
CHEMICAL-0074,SINGAPORE-WAREHOUSE,critical,2024/09/26,2024/09,105.78,0.5891,-0.2356
RAW_MAT-0075,MALAYSIA-WAREHOUSE,medium,2023/09/25,2023/09,72.15,0.4238,-0.0169
COMPONENT-0076,THAILAND-WAREHOUSE,high,2023/09/29,2023/09,73.87,-0.803,0.3965
PACKAGING-0077,SINGAPORE-WAREHOUSE,medium,2024/04/13,2024/04,11.03,0.2739,-0.2074
FINISHED_GOOD-0078,CHINA-WAREHOUSE,critical,2024/04/14,2024/04,103.07,-0.2982,-0.5729
CHEMICAL-0079,VIETNAM-WAREHOUSE,critical,2023/03/17,2023/03,592.23,-0.2438,0.2091
CHEMICAL-0080,SINGAPORE-WAREHOUSE,medium,2023/05/16,2023/05,131.34,0.1698,0.5447
FINISHED_GOOD-0081,CHINA-WAREHOUSE,high,2024/01/14,2024/01,231.44,-0.0393,-1.0
FINISHED_GOOD-0082,SINGAPORE-WAREHOUSE,low,2024/07/10,2024/07,33.56,-0.5928,0.3931
FINISHED_GOOD-0083,VIETNAM-WAREHOUSE,critical,2024/11/14,2024/11,147.31,0.9557,-0.3311
CHEMICAL-0084,THAILAND-WAREHOUSE,critical,2023/05/18,2023/05,39.59,0.8629,0.2769
FINISHED_GOOD-0085,CHINA-WAREHOUSE,critical,2024/07/20,2024/07,86.83,0.5263,0.6062
COMPONENT-0086,THAILAND-WAREHOUSE,medium,2024/09/11,2024/09,13.01,-0.1932,-0.2592
COMPONENT-0087,THAILAND-WAREHOUSE,high,2024/12/04,2024/12,91.34,-0.599,0.2009
FINISHED_GOOD-0088,VIETNAM-WAREHOUSE,low,2023/09/15,2023/09,29.36,-0.9675,0.5456
RAW_MAT-0089,CHINA-WAREHOUSE,low,2023/10/11,2023/10,586.48,-0.1564,-0.1258
RAW_MAT-0090,CHINA-WAREHOUSE,medium,2023/05/14,2023/05,127.92,-0.6965,0.1093
FINISHED_GOOD-0091,SINGAPORE-WAREHOUSE,low,2024/07/18,2024/07,59.11,0.2488,-0.3663
PACKAGING-0092,VIETNAM-WAREHOUSE,critical,2023/04/25,2023/04,140.14,0.9945,-0.4479
RAW_MAT-0093,SINGAPORE-WAREHOUSE,critical,2024/01/14,2024/01,442.6,0.3675,0.0643
CHEMICAL-0094,VIETNAM-WAREHOUSE,high,2024/03/16,2024/03,150.59,0.1268,1.0
COMPONENT-0095,CHINA-WAREHOUSE,medium,2024/01/09,2024/01,14.74,-0.7217,0.7748
RAW_MAT-0096,THAILAND-WAREHOUSE,high,2024/11/29,2024/11,28.48,0.4408,-0.2754
COMPONENT-0097,CHINA-WAREHOUSE,medium,2024/07/27,2024/07,57.31,-0.0615,-0.1996
PACKAGING-0098,VIETNAM-WAREHOUSE,high,2023/08/31,2023/08,30.67,-0.467,0.0892
COMPONENT-0099,SINGAPORE-WAREHOUSE,low,2023/01/26,2023/01,115.74,-0.9126,0.3036
COMPONENT-0100,THAILAND-WAREHOUSE,low,2024/11/16,2024/11,25.45,-0.6829,-0.0237
COMPONENT-0101,THAILAND-WAREHOUSE,high,2024/12/19,2024/12,103.4,-0.6364,0.0069
RAW_MAT-0102,MALAYSIA-WAREHOUSE,critical,2024/04/26,2024/04,52.85,-0.8138,-1.0
COMPONENT-0103,SINGAPORE-WAREHOUSE,low,2023/12/25,2023/12,30.66,-0.9392,0.5836
FINISHED_GOOD-0104,SINGAPORE-WAREHOUSE,high,2023/01/25,2023/01,24.61,0.6698,-1.0
COMPONENT-0105,MALAYSIA-WAREHOUSE,medium,2023/10/13,2023/10,29.84,0.1472,0.1043
RAW_MAT-0106,THAILAND-WAREHOUSE,medium,2024/10/18,2024/10,36.17,-0.0771,0.1582
CHEMICAL-0107,MALAYSIA-WAREHOUSE,medium,2023/01/29,2023/01,435.02,-0.2405,0.1881
RAW_MAT-0108,THAILAND-WAREHOUSE,high,2024/08/17,2024/08,19.92,0.4105,-1.0
FINISHED_GOOD-0109,CHINA-WAREHOUSE,critical,2024/09/02,2024/09,114.1,-0.1352,0.3021
PACKAGING-0110,THAILAND-WAREHOUSE,medium,2024/03/22,2024/03,171.36,0.8922,-0.8591
CHEMICAL-0111,VIETNAM-WAREHOUSE,critical,2024/01/30,2024/01,199.91,0.6165,-0.0394
CHEMICAL-0112,SINGAPORE-WAREHOUSE,medium,2023/02/15,2023/02,33.86,-0.036,0.0394
PACKAGING-0113,CHINA-WAREHOUSE,high,2024/01/08,2024/01,20.52,0.0509,-0.1772
PACKAGING-0114,CHINA-WAREHOUSE,medium,2024/09/30,2024/09,211.8,-0.4922,0.4955
FINISHED_GOOD-0115,CHINA-WAREHOUSE,medium,2024/06/03,2024/06,243.73,-0.5306,-0.5523
FINISHED_GOOD-0116,MALAYSIA-WAREHOUSE,medium,2024/02/17,2024/02,62.13,0.1187,0.9427
FINISHED_GOOD-0117,VIETNAM-WAREHOUSE,high,2023/07/16,2023/07,87.49,-0.2126,-0.4105
PACKAGING-0118,MALAYSIA-WAREHOUSE,high,2024/09/22,2024/09,48.14,0.1458,-0.6375
CHEMICAL-0119,THAILAND-WAREHOUSE,low,2024/07/15,2024/07,46.62,-0.3803,0.2713
RAW_MAT-0120,THAILAND-WAREHOUSE,medium,2023/08/04,2023/08,15.03,-0.5971,-0.7492
PACKAGING-0121,VIETNAM-WAREHOUSE,medium,2024/04/21,2024/04,42.7,-0.2043,-0.043
PACKAGING-0122,MALAYSIA-WAREHOUSE,high,2024/06/07,2024/06,346.87,-0.3736,0.0178
PACKAGING-0123,SINGAPORE-WAREHOUSE,critical,2023/10/18,2023/10,107.48,0.8588,0.1557
CHEMICAL-0124,VIETNAM-WAREHOUSE,medium,2023/04/06,2023/04,55.36,-0.667,0.2634
COMPONENT-0125,THAILAND-WAREHOUSE,high,2023/07/23,2023/07,52.84,0.0358,0.0823
COMPONENT-0126,CHINA-WAREHOUSE,critical,2023/09/08,2023/09,662.02,-0.2895,-1.0
PACKAGING-0127,VIETNAM-WAREHOUSE,critical,2024/04/11,2024/04,27.41,-0.4935,-0.0558
PACKAGING-0128,VIETNAM-WAREHOUSE,high,2024/12/14,2024/12,139.17,-0.1869,0.0143
PACKAGING-0129,MALAYSIA-WAREHOUSE,low,2023/09/07,2023/09,17.65,-0.9897,0.5134
COMPONENT-0130,CHINA-WAREHOUSE,critical,2024/03/11,2024/03,94.65,0.0325,-0.202
COMPONENT-0131,SINGAPORE-WAREHOUSE,low,2023/02/21,2023/02,18.52,-0.4109,0.1991
CHEMICAL-0132,SINGAPORE-WAREHOUSE,critical,2024/04/12,2024/04,79.26,0.9325,1.0
COMPONENT-0133,MALAYSIA-WAREHOUSE,medium,2024/03/29,2024/03,15.17,-0.1939,-0.6431
CHEMICAL-0134,VIETNAM-WAREHOUSE,low,2024/07/15,2024/07,49.57,-0.7854,0.2989
PACKAGING-0135,SINGAPORE-WAREHOUSE,low,2024/04/05,2024/04,37.95,-0.5218,0.1472
FINISHED_GOOD-0136,SINGAPORE-WAREHOUSE,medium,2024/06/17,2024/06,64.77,-0.7006,0.4791
PACKAGING-0137,SINGAPORE-WAREHOUSE,medium,2024/03/26,2024/03,66.41,0.3281,-0.0581
RAW_MAT-0138,THAILAND-WAREHOUSE,high,2023/10/06,2023/10,70.53,-0.7867,0.6666
FINISHED_GOOD-0139,THAILAND-WAREHOUSE,critical,2023/05/22,2023/05,16.3,0.8465,0.1543
COMPONENT-0140,SINGAPORE-WAREHOUSE,low,2024/12/11,2024/12,26.42,-0.1902,0.2124
COMPONENT-0141,SINGAPORE-WAREHOUSE,critical,2024/02/29,2024/02,29.31,0.7001,-0.9486
PACKAGING-0142,THAILAND-WAREHOUSE,low,2024/03/01,2024/03,89.42,-0.4909,-0.3788
RAW_MAT-0143,SINGAPORE-WAREHOUSE,low,2024/02/03,2024/02,61.68,-0.3864,-0.0568
CHEMICAL-0144,CHINA-WAREHOUSE,low,2024/05/03,2024/05,52.72,-0.0445,0.3095
RAW_MAT-0145,THAILAND-WAREHOUSE,medium,2024/02/04,2024/02,102.76,0.8476,-0.4144
PACKAGING-0146,VIETNAM-WAREHOUSE,high,2024/05/14,2024/05,50.68,0.8474,0.4323
COMPONENT-0147,THAILAND-WAREHOUSE,low,2024/05/12,2024/05,100.54,-0.8981,0.3835
RAW_MAT-0148,MALAYSIA-WAREHOUSE,medium,2024/11/15,2024/11,10.37,-0.2991,0.0617
PACKAGING-0149,SINGAPORE-WAREHOUSE,low,2023/05/11,2023/05,18.52,-0.8886,0.3067
CHEMICAL-0150,VIETNAM-WAREHOUSE,critical,2024/02/08,2024/02,457.57,0.2515,-0.1398
CHEMICAL-0151,VIETNAM-WAREHOUSE,critical,2023/03/27,2023/03,193.75,0.8002,0.1608
PACKAGING-0152,SINGAPORE-WAREHOUSE,low,2023/07/06,2023/07,35.17,-0.6501,0.139
RAW_MAT-0153,THAILAND-WAREHOUSE,low,2023/12/02,2023/12,71.31,-0.3832,0.428
COMPONENT-0154,MALAYSIA-WAREHOUSE,medium,2023/12/12,2023/12,32.55,-0.0679,0.0392
PACKAGING-0155,THAILAND-WAREHOUSE,low,2023/09/16,2023/09,233.55,-0.794,0.1046
RAW_MAT-0156,MALAYSIA-WAREHOUSE,critical,2024/07/06,2024/07,49.28,0.7992,-1.0
RAW_MAT-0157,THAILAND-WAREHOUSE,high,2024/10/27,2024/10,69.01,-0.1182,0.0146
RAW_MAT-0158,CHINA-WAREHOUSE,critical,2023/09/11,2023/09,114.8,0.8806,0.5233
COMPONENT-0159,CHINA-WAREHOUSE,high,2023/09/02,2023/09,89.34,-0.2545,0.1762
COMPONENT-0160,MALAYSIA-WAREHOUSE,critical,2024/07/31,2024/07,76.21,-0.3334,-0.3985
COMPONENT-0161,MALAYSIA-WAREHOUSE,medium,2024/01/13,2024/01,30.85,-0.7204,0.7843
COMPONENT-0162,VIETNAM-WAREHOUSE,critical,2023/06/17,2023/06,24.07,-0.0696,0.1832
FINISHED_GOOD-0163,CHINA-WAREHOUSE,critical,2023/11/16,2023/11,93.2,0.1622,-0.5389
CHEMICAL-0164,MALAYSIA-WAREHOUSE,low,2023/07/23,2023/07,45.74,-0.2495,0.3999
RAW_MAT-0165,VIETNAM-WAREHOUSE,high,2023/04/15,2023/04,32.54,-0.5748,-0.398
FINISHED_GOOD-0166,VIETNAM-WAREHOUSE,critical,2024/08/02,2024/08,519.57,0.7395,-0.6134
RAW_MAT-0167,THAILAND-WAREHOUSE,low,2024/11/08,2024/11,98.56,0.1812,0.0844
FINISHED_GOOD-0168,CHINA-WAREHOUSE,medium,2023/01/13,2023/01,158.65,0.1132,0.252
PACKAGING-0169,MALAYSIA-WAREHOUSE,critical,2024/03/19,2024/03,121.44,0.7894,0.1476
FINISHED_GOOD-0170,MALAYSIA-WAREHOUSE,high,2024/03/21,2024/03,56.19,0.3363,0.1961
COMPONENT-0171,VIETNAM-WAREHOUSE,medium,2024/09/22,2024/09,14.02,0.0331,-0.6057
CHEMICAL-0172,MALAYSIA-WAREHOUSE,low,2024/03/22,2024/03,67.98,-0.6047,0.0891
CHEMICAL-0173,THAILAND-WAREHOUSE,medium,2023/09/09,2023/09,65.8,-0.5224,0.3999
RAW_MAT-0174,THAILAND-WAREHOUSE,low,2023/09/07,2023/09,159.75,-0.9296,0.4014
PACKAGING-0175,VIETNAM-WAREHOUSE,low,2023/12/11,2023/12,11.9,-0.8994,0.6283
RAW_MAT-0176,MALAYSIA-WAREHOUSE,medium,2023/07/06,2023/07,51.12,-0.5383,0.7877
PACKAGING-0177,SINGAPORE-WAREHOUSE,medium,2023/09/22,2023/09,104.44,0.2374,-0.9508
FINISHED_GOOD-0178,THAILAND-WAREHOUSE,medium,2024/07/23,2024/07,43.71,0.1283,-0.2641
RAW_MAT-0179,VIETNAM-WAREHOUSE,high,2023/03/29,2023/03,134.01,-0.8046,-0.4007
COMPONENT-0180,MALAYSIA-WAREHOUSE,low,2024/07/22,2024/07,43.41,-0.7994,0.2621
COMPONENT-0181,MALAYSIA-WAREHOUSE,low,2024/04/03,2024/04,71.5,-0.693,0.5431
RAW_MAT-0182,CHINA-WAREHOUSE,medium,2023/08/15,2023/08,21.23,-0.4579,0.3165
PACKAGING-0183,SINGAPORE-WAREHOUSE,medium,2024/11/10,2024/11,19.48,-0.1095,0.3165
CHEMICAL-0184,THAILAND-WAREHOUSE,low,2024/07/20,2024/07,39.8,-0.9017,-0.137
CHEMICAL-0185,THAILAND-WAREHOUSE,low,2024/07/17,2024/07,28.94,-0.6197,-0.0184
FINISHED_GOOD-0186,THAILAND-WAREHOUSE,low,2023/10/05,2023/10,27.44,-0.7688,0.1787
FINISHED_GOOD-0187,THAILAND-WAREHOUSE,high,2023/05/04,2023/05,88.14,0.738,0.0019
COMPONENT-0188,THAILAND-WAREHOUSE,critical,2024/07/02,2024/07,144.44,0.6023,1.0
COMPONENT-0189,SINGAPORE-WAREHOUSE,high,2024/05/10,2024/05,56.69,-0.3601,-0.4178
FINISHED_GOOD-0190,VIETNAM-WAREHOUSE,medium,2023/04/13,2023/04,18.87,-0.268,0.1586
COMPONENT-0191,THAILAND-WAREHOUSE,high,2024/01/05,2024/01,24.57,0.1167,0.1303
COMPONENT-0192,THAILAND-WAREHOUSE,critical,2024/12/26,2024/12,548.29,0.622,-0.6502
CHEMICAL-0193,SINGAPORE-WAREHOUSE,medium,2023/02/16,2023/02,484.2,-0.4263,0.2884
RAW_MAT-0194,VIETNAM-WAREHOUSE,medium,2024/12/15,2024/12,32.16,-0.4113,-0.2892
COMPONENT-0195,MALAYSIA-WAREHOUSE,critical,2023/01/13,2023/01,366.5,0.1423,-0.7892
CHEMICAL-0196,THAILAND-WAREHOUSE,low,2024/05/05,2024/05,33.04,0.3453,-0.0676
PACKAGING-0197,THAILAND-WAREHOUSE,high,2023/02/22,2023/02,138.78,0.1809,-1.0
FINISHED_GOOD-0198,MALAYSIA-WAREHOUSE,critical,2023/03/08,2023/03,521.4,0.9156,-0.0951
PACKAGING-0199,MALAYSIA-WAREHOUSE,critical,2024/08/13,2024/08,428.54,0.7953,-0.3767
RAW_MAT-0200,SINGAPORE-WAREHOUSE,high,2024/07/30,2024/07,217.04,0.7688,0.6553
FINISHED_GOOD-0201,CHINA-WAREHOUSE,high,2023/05/02,2023/05,27.89,-0.3886,-0.2136
CHEMICAL-0202,MALAYSIA-WAREHOUSE,high,2024/06/19,2024/06,3.16,-0.3857,0.5787
PACKAGING-0203,MALAYSIA-WAREHOUSE,low,2023/11/01,2023/11,14.96,-0.4555,0.2324
CHEMICAL-0204,MALAYSIA-WAREHOUSE,medium,2024/08/05,2024/08,58.96,0.7824,-0.3437
CHEMICAL-0205,CHINA-WAREHOUSE,critical,2023/08/01,2023/08,898.67,0.0827,0.9621
COMPONENT-0206,THAILAND-WAREHOUSE,critical,2023/06/10,2023/06,234.7,0.2959,0.8892
COMPONENT-0207,SINGAPORE-WAREHOUSE,critical,2023/06/10,2023/06,136.19,0.596,0.125
RAW_MAT-0208,MALAYSIA-WAREHOUSE,low,2024/12/06,2024/12,50.36,-0.5496,0.3847
CHEMICAL-0209,MALAYSIA-WAREHOUSE,medium,2023/02/03,2023/02,77.21,0.7379,0.1452
COMPONENT-0210,THAILAND-WAREHOUSE,medium,2024/12/20,2024/12,71.99,-0.1519,-0.3704
PACKAGING-0211,CHINA-WAREHOUSE,high,2023/09/28,2023/09,52.94,-0.1975,0.1897
CHEMICAL-0212,SINGAPORE-WAREHOUSE,low,2023/04/28,2023/04,58.41,-0.7715,0.0968
CHEMICAL-0213,SINGAPORE-WAREHOUSE,high,2023/09/30,2023/09,278.98,-0.0897,-0.6268
COMPONENT-0214,CHINA-WAREHOUSE,critical,2023/06/19,2023/06,109.63,0.0249,0.7967
FINISHED_GOOD-0215,VIETNAM-WAREHOUSE,medium,2024/03/25,2024/03,21.46,-0.4631,-0.535
RAW_MAT-0216,MALAYSIA-WAREHOUSE,medium,2024/12/17,2024/12,42.04,0.0357,0.5052
PACKAGING-0217,THAILAND-WAREHOUSE,low,2024/03/24,2024/03,15.21,-0.8984,0.2742
RAW_MAT-0218,VIETNAM-WAREHOUSE,critical,2024/03/18,2024/03,31.44,0.3346,-1.0
FINISHED_GOOD-0219,VIETNAM-WAREHOUSE,medium,2023/01/27,2023/01,5.76,-0.7683,0.6344
RAW_MAT-0220,SINGAPORE-WAREHOUSE,critical,2024/11/19,2024/11,37.04,0.9837,1.0
FINISHED_GOOD-0221,VIETNAM-WAREHOUSE,critical,2023/06/29,2023/06,335.62,-0.5087,1.0
PACKAGING-0222,VIETNAM-WAREHOUSE,low,2023/10/12,2023/10,80.81,-0.4922,0.0719
COMPONENT-0223,VIETNAM-WAREHOUSE,low,2024/10/12,2024/10,22.86,0.2368,-0.1553
PACKAGING-0224,CHINA-WAREHOUSE,low,2023/12/23,2023/12,81.19,-0.575,-0.4011
PACKAGING-0225,THAILAND-WAREHOUSE,medium,2024/11/17,2024/11,46.56,0.1233,-0.0907
RAW_MAT-0226,SINGAPORE-WAREHOUSE,medium,2024/02/26,2024/02,21.39,-0.7216,0.2807
PACKAGING-0227,THAILAND-WAREHOUSE,low,2024/07/17,2024/07,30.6,-0.7977,0.4051
RAW_MAT-0228,MALAYSIA-WAREHOUSE,critical,2023/11/19,2023/11,105.56,0.3602,0.3266
FINISHED_GOOD-0229,THAILAND-WAREHOUSE,critical,2024/02/18,2024/02,106.66,0.8814,1.0
CHEMICAL-0230,CHINA-WAREHOUSE,low,2024/02/28,2024/02,31.17,-0.876,0.5037
RAW_MAT-0231,SINGAPORE-WAREHOUSE,medium,2024/09/29,2024/09,15.83,0.6916,0.6816
PACKAGING-0232,MALAYSIA-WAREHOUSE,critical,2023/07/28,2023/07,1041.14,0.7405,0.7575
FINISHED_GOOD-0233,VIETNAM-WAREHOUSE,high,2023/10/22,2023/10,54.48,-0.6955,0.3973
PACKAGING-0234,MALAYSIA-WAREHOUSE,critical,2023/01/30,2023/01,558.28,0.7369,0.5601
CHEMICAL-0235,SINGAPORE-WAREHOUSE,high,2023/11/15,2023/11,26.81,0.3234,-0.7575
CHEMICAL-0236,CHINA-WAREHOUSE,low,2023/04/06,2023/04,29.32,-0.7226,-0.0142
COMPONENT-0237,CHINA-WAREHOUSE,low,2023/05/01,2023/05,453.89,-0.6737,0.3409
COMPONENT-0238,MALAYSIA-WAREHOUSE,medium,2024/06/05,2024/06,26.98,-0.8004,1.0
FINISHED_GOOD-0239,MALAYSIA-WAREHOUSE,low,2024/04/28,2024/04,21.74,-0.5144,0.3159
COMPONENT-0240,MALAYSIA-WAREHOUSE,high,2024/01/28,2024/01,187.93,0.6324,-0.631
COMPONENT-0241,VIETNAM-WAREHOUSE,high,2023/03/13,2023/03,39.79,0.1521,-0.701
FINISHED_GOOD-0242,MALAYSIA-WAREHOUSE,medium,2024/06/03,2024/06,40.08,0.24,0.0048
FINISHED_GOOD-0243,CHINA-WAREHOUSE,medium,2023/11/02,2023/11,14.42,-0.0575,-0.2972
CHEMICAL-0244,VIETNAM-WAREHOUSE,low,2023/06/02,2023/06,18.11,-0.9368,0.4935
PACKAGING-0245,VIETNAM-WAREHOUSE,low,2023/12/20,2023/12,126.28,0.323,-0.0987
